Numărul circumscripției electorale județene și a municipiului București,Denumirea circumscripției electorale,Denumirea formațiunii politice/Candidat independent,Pozitie Buletin,Denumirea membrului din cadrul alianței care a propus candidatul,Numele candidatului,Prenumele candidatului,Funcția pentru care candidează,Pozitie lista
1,ALBA,ALIANȚA NAȚIONAL CREȘTINĂ,11,,TRUȚA,SABIN,CAMERA DEPUTAȚILOR,1
1,ALBA,ALIANȚA NAȚIONAL CREȘTINĂ,11,,POPA,SANDA-RODICA,CAMERA DEPUTAȚILOR,2
1,ALBA,ALIANȚA NAȚIONAL CREȘTINĂ,11,,POPA,VIRGIL,CAMERA DEPUTAȚILOR,3
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,MATIEȘ,CĂLIN-GHEORGHE,CAMERA DEPUTAȚILOR,1
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,BOGDAN,ADRIAN,CAMERA DEPUTAȚILOR,2
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,JORNEAC,EDUARD,CAMERA DEPUTAȚILOR,3
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,CULDA-POP,LILIANA-CRINA,CAMERA DEPUTAȚILOR,4
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,POPESCU,DAMIAN-LUCIAN,CAMERA DEPUTAȚILOR,5
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,SCÂNTEIE,GHEORGHE-DORIN,CAMERA DEPUTAȚILOR,6
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,VLADU,PAUL,CAMERA DEPUTAȚILOR,7
1,ALBA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,17,,HOSSU,IOAN,CAMERA DEPUTAȚILOR,1
1,ALBA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,17,,SANDU,VIOREL,CAMERA DEPUTAȚILOR,2
1,ALBA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,17,,DIACONESCU,FLORINA-SIMONA,CAMERA DEPUTAȚILOR,3
1,ALBA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.,35,,GROSARU,IOANA,CAMERA DEPUTAȚILOR,1
1,ALBA,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA""",24,,STOICA,BOGDAN-ALIN,CAMERA DEPUTAȚILOR,1
1,ALBA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA,32,,STANCU,IONEL,CAMERA DEPUTAȚILOR,1
1,ALBA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA,32,,CODREANU,CRISTINA,CAMERA DEPUTAȚILOR,2
1,ALBA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",34,,PĂUN,NICOLAE,CAMERA DEPUTAȚILOR,1
1,ALBA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",34,,PARASCHIV,IULIAN-COSTEL,CAMERA DEPUTAȚILOR,2
1,ALBA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",34,,PARASCHIV,BOGDAN-FLORIN,CAMERA DEPUTAȚILOR,3
1,ALBA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",34,,GOTU,VIORICA,CAMERA DEPUTAȚILOR,4
1,ALBA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",34,,PĂUN,IONUȚ-CONSTANTIN,CAMERA DEPUTAȚILOR,5
1,ALBA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",34,,VASILE,DANIEL,CAMERA DEPUTAȚILOR,6
1,ALBA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA,38,,FEODOR,SILVIU,CAMERA DEPUTAȚILOR,1
1,ALBA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA,38,,ARTION,NICOLAE,CAMERA DEPUTAȚILOR,2
1,ALBA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA,38,,CRĂCIUN,SVETLANA-FLORENTINA,CAMERA DEPUTAȚILOR,3
1,ALBA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,20,,BERCEA,DELIA,CAMERA DEPUTAȚILOR,1
1,ALBA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,20,,ALBU,IULIAN-CORNEL,CAMERA DEPUTAȚILOR,2
1,ALBA,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA,29,,VEXLER,SILVIU,CAMERA DEPUTAȚILOR,1
1,ALBA,FORȚA DREPTEI,3,,LUCA,ALEXANDRU,CAMERA DEPUTAȚILOR,1
1,ALBA,FORȚA DREPTEI,3,,GUȘ,MARIUS-IOAN,CAMERA DEPUTAȚILOR,2
1,ALBA,FORȚA DREPTEI,3,,GOȘA,IOAN,CAMERA DEPUTAȚILOR,3
1,ALBA,FORȚA DREPTEI,3,,BALEA,GHEORGHE,CAMERA DEPUTAȚILOR,4
1,ALBA,FORȚA DREPTEI,3,,FLOREA,ANDREI-NICOLAE,CAMERA DEPUTAȚILOR,5
1,ALBA,FORȚA DREPTEI,3,,URSA,ANA MARIA,CAMERA DEPUTAȚILOR,6
1,ALBA,FORȚA DREPTEI,3,,BARAN,RODICA,CAMERA DEPUTAȚILOR,7
1,ALBA,FORUMUL CEHILOR DIN ROMÂNIA,40,,BOUDA,ȘTEFAN,CAMERA DEPUTAȚILOR,1
1,ALBA,FORUMUL CEHILOR DIN ROMÂNIA,40,,MOȚEC,ȘTEFAN,CAMERA DEPUTAȚILOR,2
1,ALBA,FORUMUL CEHILOR DIN ROMÂNIA,40,,PERVULESCU,ASTRID-MARICHEN,CAMERA DEPUTAȚILOR,3
1,ALBA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,31,,GANȚ,OVIDIU-VICTOR,CAMERA DEPUTAȚILOR,1
1,ALBA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,31,,ȘINDILARIU,THOMAS,CAMERA DEPUTAȚILOR,2
1,ALBA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,31,,ROST,ANDREA-BETTINA,CAMERA DEPUTAȚILOR,3
