Numărul circumscripției electorale județene și a municipiului București,Denumirea circumscripției electorale,Denumirea formațiunii politice/Candidat independent,Pozitie Buletin,Denumirea membrului din cadrul alianței care a propus candidatul,Numele candidatului,Prenumele candidatului,Funcția pentru care candidează,Pozitie lista
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,DÎRLĂU,ANDREI-EMIL,SENAT,1
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,CRIȘAN,CRISTIAN,SENAT,2
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,HĂBEAN,ANTONIU-SORIN,SENAT,3
1,ALBA,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,DUP,VANESA-ARUNA,SENAT,4
1,ALBA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,17,,GOREA-COSTIN,IULIA,SENAT,1
1,ALBA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,17,,IEREMIA,CRISTIAN,SENAT,2
1,ALBA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,17,,DASCĂLU,VASILICA-MONICA,SENAT,3
1,ALBA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,19,,BARDOȘ,ALINA-DELIA,SENAT,1
1,ALBA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,19,,IONESCU,LIVIU-MIHAIL,SENAT,2
1,ALBA,FORȚA DREPTEI,3,,PETRINA,LIVIU,SENAT,1
1,ALBA,FORȚA DREPTEI,3,,LUCA,ROMULUS,SENAT,2
1,ALBA,FORȚA DREPTEI,3,,FLOREA,IULIANA,SENAT,3
1,ALBA,PARTIDUL ECOLOGIST ROMÂN,14,,VOIȘAN,ANA-MARIA,SENAT,1
1,ALBA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,13,,HAȚEGAN,MARIUS-ADRIAN,SENAT,1
1,ALBA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,13,,BUTUC,ADRIAN-EMANUEL,SENAT,2
1,ALBA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,13,,LĂPĂDUȘ,DIANA,SENAT,3
1,ALBA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,13,,BERINDEIE,RADU-VASILE,SENAT,4
1,ALBA,PARTIDUL NAȚIONAL LIBERAL,2,,RĂCUCI,CLAUDIU-VASILE,SENAT,1
1,ALBA,PARTIDUL NAȚIONAL LIBERAL,2,,ROTAR,CORINA,SENAT,2
1,ALBA,PARTIDUL NAȚIONAL LIBERAL,2,,COSTEA,CRISTIAN-VASILE,SENAT,3
1,ALBA,PARTIDUL NOUA ROMÂNIE,9,,ROCA,MANUELA-LUMINIȚA,SENAT,1
1,ALBA,PARTIDUL OAMENILOR TINERI,7,,BARNA,ANDREI,SENAT,1
1,ALBA,PARTIDUL OAMENILOR TINERI,7,,POENARIU,FELICIA,SENAT,2
1,ALBA,PARTIDUL OAMENILOR TINERI,7,,BORCAN,GEORGE-ADRIAN,SENAT,3
1,ALBA,PARTIDUL PHRALIPE AL ROMILOR,12,,PĂDUREAN,CĂLIN-LIVIU,SENAT,1
1,ALBA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,8,,ȚOC,IONEL,SENAT,1
1,ALBA,PARTIDUL REPUBLICAN DIN ROMÂNIA,16,,PETRE,MARIAN,SENAT,1
1,ALBA,PARTIDUL REPUBLICAN DIN ROMÂNIA,16,,TECȘA,NICOLETA,SENAT,2
1,ALBA,PARTIDUL REPUBLICAN DIN ROMÂNIA,16,,BUCUR,CONSTANTIN,SENAT,3
1,ALBA,PARTIDUL REPUBLICAN DIN ROMÂNIA,16,,DUMITRU,GHEORGHE,SENAT,4
1,ALBA,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,ȘUTEU,CODRUȚA,SENAT,1
1,ALBA,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,MĂRCUȘ,IOAN-MIHAI,SENAT,2
1,ALBA,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,BĂDILĂ,CIPRIAN-TUDOR,SENAT,3
1,ALBA,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,UDREA,VLAD-SEBASTIAN,SENAT,4
1,ALBA,PARTIDUL SOCIAL DEMOCRAT,6,,MUREȘAN,CORNELIU,SENAT,1
1,ALBA,PARTIDUL SOCIAL DEMOCRAT,6,,TODOSIU,BENIAMIN,SENAT,2
1,ALBA,PARTIDUL SOCIAL DEMOCRAT,6,,SANISLAV,MARIA,SENAT,3
1,ALBA,PARTIDUL SOCIAL DEMOCRAT,6,,RUSU,OCTAVIAN-HORAȚIU,SENAT,4
1,ALBA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,20,,CHIVU,IULIAN-COSMIN,SENAT,1
1,ALBA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,20,,CORODEANU,MARIA-MARTA,SENAT,2
1,ALBA,PARTIDUL SOCIAL DEMOCRAT UNIT,18,,BARBU,MAGDALENA-ANCA,SENAT,1
1,ALBA,PARTIDUL S.O.S. ROMÂNIA,10,,CORCHEȘ,DOREL-VALER,SENAT,1
1,ALBA,PARTIDUL S.O.S. ROMÂNIA,10,,POPA,IOAN,SENAT,2
1,ALBA,PARTIDUL S.O.S. ROMÂNIA,10,,NICOLA,LUCREȚIA,SENAT,3
